Horror Wiki Index,char index,actor,character,stripped character
787,0,John Cusack,Mike Enslin,mike enslin
787,1,Samuel L. Jackson,Gerald Olin,gerald olin
787,2,Mary McCormack,Lily Enslin,lily enslin
787,3,Tony Shalhoub,Sam Farrell,sam farrell
787,4,Len Cariou,Mike's father,mikes father
787,5,Jasmine Jessica Anthony,Katie Enslin,katie enslin
787,6,Isiah Whitlock,Jr. as Hotel Engineer,jr as hotel engineer
787,7,Kim Thomson,Hotel Desk Clerk,hotel desk clerk
787,8,Benny Urquidez,Claw Hammer Maniac,claw hammer maniac
1128,0,Thomas Jane,Wilfred James,wilfred james
1128,1,Dylan Schmid,Henry James,henry james
1128,2,Molly Parker,Arlette James,arlette james
1128,3,Neal McDonough,Harlan Cotterie,harlan cotterie
1128,4,Kaitlyn Bernard,Shannon Cotterie,shannon cotterie
1128,5,Brian d'Arcy James,Sheriff Jones,sheriff jones
1128,6,Bob Frazer,Mr. Lester,mr lester
968,0,Carmen Electra,Anne Babish,anne babish
968,1,Charlie O'Connell,Professor Babish,professor babish
968,2,Brooke Hogan,Kate,kate
968,3,Christina Bach,Dana,dana
968,4,David Gallegos,Paul,paul
968,5,Geoff Ward,Cole,cole
968,6,Mercedes Young,Liza,liza
968,7,Shannan Stewart,Lyndsey,lyndsey
968,8,Tihirah Taliaferro,Michelle,michelle
968,9,Michael Dicarluccio,Ethan,ethan
968,10,Lauren Vera,Jamie,jamie
968,11,Marckenson Charles,Ryan,ryan
968,12,Ashley Bissing,Kristen,kristen
968,13,Corinne Nobili,Kirsten,kirsten
968,14,Benjamin James,Alex,alex
968,15,Chase Conner,Kirk,kirk
968,16,Anna Jackson,Haley,haley
968,17,Amber English,Alison,alison
968,18,Collin Carmouze,Jeff,jeff
968,19,Casey King Leslie,Mike,mike
968,20,Morgan Thompson,Laura,laura
968,21,Gerald Webb,Han,han
968,22,Anthony E. Valentin,Dikilla,dikilla
644,0,Cillian Murphy,Jim,jim
644,1,Naomie Harris,Selena,selena
644,2,Noah Huntley,Mark,mark
644,3,Christopher Dunne,Jim's Father,jims father
644,4,Emma Hitching,Jim's Mother,jims mother
644,5,Alexander Delamere,Mr. Bridges,mr bridges
644,6,Kim McGarrity,Mr. Bridges' Daughter,mr bridges daughter
644,7,Brendan Gleeson,Frank,frank
644,8,Megan Burns,Hannah,hannah
644,9,Luke Mably,Private Clifton,private clifton
644,10,Stuart McQuarrie,Sergeant Farrell,sergeant farrell
644,11,Ricci Harnett,Corporal Mitchell,corporal mitchell
644,12,Leo Bill,Private Jones,private jones
644,13,Junior Laniyan,Private Bell,private bell
644,14,Ray Panthaki,Private Bedford,private bedford
644,15,Christopher Eccleston,Major Henry West,major henry west
644,16,Sanjay Rambaruth,Private Davis,private davis
644,17,Marvin Campbell,Private Mailer,private mailer
788,0,Robert Carlyle,Don Harris,don harris
788,1,Rose Byrne,Scarlet,scarlet
788,2,Jeremy Renner,Doyle,doyle
788,3,Amanda Walker,Sally,sally
788,4,Shahid Ahmed,Jacob,jacob
788,5,Harold Perrineau,Flynn,flynn
788,6,Catherine McCormack,Alice Harris,alice harris
788,7,Garfield Morgan,Geoff,geoff
788,8,Emily Beecham,Karen,karen
788,9,Idris Elba,Stone,stone
788,10,Imogen Poots,Tammy Harris,tammy harris
788,11,Mackintosh Muggleton,Andy Harris,andy harris
1073,0,Karrueche Tran,Maggie Peterson,maggie peterson
1073,1,Rob Van Dam,Stanley,stanley
1073,2,Danny Trejo,Max Burns,max burns
1073,3,Jaason Simmons,Dr. Ted Nelson,dr ted nelson
1073,4,Rico Ball,Omar,omar
1073,5,Jena Sims,Dr. Laura Thomas,dr laura thomas
1073,6,Lawrence C. Garnell Jr.,Dr. Leonard,dr leonard
1073,7,Dawn Hamil,Allison,allison
1073,8,Brianna Ferris,Rosemarie,rosemarie
1073,9,Carlos Rivera,Howard Grant,howard grant
