Movie Index,Title,Year,Plot,Director(s),Star(s),Stripped Title,Horror Wiki Index,Horror Wiki URL
0,An Evening of Edgar Allan Poe,1970.0,"Vincent Price recites four Edgar Allen Poe stories: The Tell-Tale Heart, The Sphinx, The Cask of Amontillado, and The Pit and the Pendulum.",Kenneth Johnson,Vincent Price,an evening of edgar allan poe,,
1,The Dunwich Horror,1970.0,"Wilbur Whateley travels to the Arkham Miskatonic University to borrow the legendary Necronomicon. But, little does anyone know, Whateley isn't quite human...",Daniel Haller,"Sandra Dee, Dean Stockwell, Ed Begley, Lloyd Bochner",dunwich horror,,
2,The Ravager,1970.0,"While serving in Vietnam, a demolitionist witnesses the brutal torture/rape/murder of a young woman...ultimately, he becomes a serial rapist and killer himself, preferring explosives as his murder weapon of choice.",Charles Nizet,"Pierre Agostino, Jo Long, Lynn Hayes, Luanne Roberts",ravager,,
3,Bloodthirsty Butchers,1970.0,"A murderous barber and his equally psychopathic friend, a baker, the barber and baker hatch a plan to murder and make human pies to be sold in his shop.",Andy Milligan,"John Miranda, Annabella Wood, Berwick Kaler, Jane Hilary",bloodthirsty butchers,,
4,Torture Dungeon,1970.0,"In Medival England, a sadistic duke plots to kill off all the heirs to the throne of England so he can claim the title crown for himself.",Andy Milligan,"Gerald Jacuzzo, Susan Cassidy, Patricia Dillon, Neil Flanagan",torture dungeon,,
5,Horror of the Blood Monsters,1970.0,"In the near future with a intergalactic vampire plague threatening earth, an expedition is sent to a distant galaxy in hopes of discovering the plague's source. Landing on a mysterious ...                See full summary »",Al Adamson,"John Carradine, Robert Dix, Vicki Volante, Joey Benson",horror of blood monsters,,
6,Women and Bloody Terror,1970.0,"A wretched piece about a promiscuous woman, who has affairs with every man she meets, including her daughter's boy friend.",Joy N. Houck Jr.,"Georgine Darcy, Marcus J. Grapes, Michael Anthony, Christina Hart",women and bloody terror,,
7,The Psycho Lover,1970.0,"A psychiatrist plots to murder his wife, but with a new twist: he will brainwash a patient he is treating into committing the crime.",Robert Vincent O'Neil,"Lawrence Montaigne, Jo Anne Meredith, Elizabeth Plumb, Frank Cuva",psycho lover,,
8,Flesh Feast,1970.0,"A ring of Nazis in Florida is in possession of the body of Adolf Hitler, and plan revive him so they can take over the world.",Brad F. Grinter,"Veronica Lake, Phil Philbin, Doug Foster, Harry Kerwin",flesh feast,,
9,Multiple Maniacs,1970.0,"Three determined women, Divine, Cookie and Mink Stole, set out to solve the Sharon Tate murders.",John Waters,"Divine, David Lochary, Mary Vivian Pearce, Mink Stole",multiple maniacs,,
10,Blood of the Iron Maiden,1970.0,"A crazed movie director (Marvin Miller), aided by a deranged doctor (John Carradine), gives LSD to aspiring actresses before murdering them with an iron maiden in his torture chamber.",Ben Benoit,"Marvin Miller, Peter Duryea, Carole Kane, John Carradine",blood of iron maiden,,
11,Equinox,1970.0,"Four friends are attacked by a demon while on a picnic, due to possession of a tome of mystic information. Told in flashbacks by the sole survivor.","Mark Thomas McGee, Dennis Muren, Jack Woods","Edward Connell, Barbara Hewitt, Frank Bonner, Robin Christopher",equinox,1.0,/wiki/Equinox
12,Sinthia: The Devil's Doll,1970.0,"Cynthia Kyle enters puberty with a vengeance, murdering her parents as they make love: she's wanted her father to love only her. Eight years later, she's free and wants to marry, but ...                See full summary »",Ray Dennis Steckler,"Shula Roan, Ted Roter, Brett Zeller, Gary Kent",sinthia devils doll,,
13,"Count Yorga, Vampire",1970.0,"A couple invites a Count from Hungary, who recently immigrated to America, to conduct a seance for the woman's recently deceased mother, oblivious to the fact that he is actually a vampire.",Bob Kelljan,"Robert Quarry, Roger Perry, Michael Murphy, Michael Macready",count yorga vampire,,
14,End Zone 2,1970.0,Add a Plot,August Kane,"Randall Browning, Julie Kane, Mikey Smash, William Mouth",end zone 2,,
15,House of Dark Shadows,1970.0,"Vampire Barnabas Collins is accidentally released from his centuries-long confinement at his family's estate in Maine. He targets his clueless descendants who live there now and pursues Maggie, the incarnation of his lost love.",Dan Curtis,"Jonathan Frid, Grayson Hall, Kathryn Leigh Scott, Roger Davis",house of dark shadows,4.0,/wiki/House_of_Dark_Shadows
16,Bigfoot,1970.0,Bigfoot kidnaps some women and some bikers decide to go on a rescue mission to save them.,Robert F. Slatzer,"John Carradine, Joi Lansing, Judith Jordan, John Mitchum",bigfoot,,
17,Night of the Witches,1970.0,"A lecherous thief posing as a preacher is wandering in northern coastal Mexico. After stealing a car and evading police, he stumbles on a small coven of mysterious witches living in a ...                See full summary »",Keith Larsen,"Keith Larsen, Randy Stafford, Ron Taft, Kathryn Loder",night of witches,,
18,"Guru, the Mad Monk",1970.0,A deranged 15th Century prison colony chaplain exploits his power to get money for his church including murder and grave robbing committed by his vampire mistress and one-eyed hunchback assistant.,Andy Milligan,"Neil Flanagan, Jaqueline Webb, Judith Israel, Jack Spencer",guru mad monk,,
19,Mark of the Witch,1970.0,A 300-year-old witch terrorizes a college town to get revenge on the descendant of the man who persecuted her.,Tom Moore,"Robert Elston, Anitra Walsh, Darryl Wells, Jack Gardner",mark of witch,,
20,The Wizard of Gore,1970.0,A TV talk-show hostess and her boyfriend investigate a shady magician whom has the ability to hypnotize and control the thoughts of people in order to stage gory on-stage illusions using his powers of mind bending.,Herschell Gordon Lewis,"Ray Sager, Judy Cler, Wayne Ratay, Phil Laurenson",wizard of gore,,
21,Blood Mania,1970.0,A sex-crazed nympho helps speed along her father's death so she can use the inheritance to help out her depraved boyfriend.,Robert Vincent O'Neil,"Peter Carpenter, Maria De Aragon, Vicki Peters, Reagan Wilson",blood mania,,
22,Hollywood Horror House,1970.0,"An aging actress living in her Hollywood mansion with a retinue of elderly servants employs a new, mentally disturbed, personal assistant who schemes to takeover the large estate.",Donald Wolfe,"Miriam Hopkins, David Garfield, Gale Sondergaard, Virginia Wing",hollywood horror house,,
23,Night of the Bloody Transplant,1970.0,"Amateur film about a doctor who performs an illegal heart transplant only to have his drunken brother botch it. Film features actual open-heart surgery footage, as well as scenes of body ...                See full summary »",David W. Hanson,"Ann Antell, Dick Grimm, David Haller, Elizabeth Rawlings",night of bloody transplant,,
24,Sex and the Single Vampire,1970.0,Count Spatula's house is invaded by a group of swingers wanting to have sex in a haunted house.,Modunk Phreezer,"John Holmes, John Dullaghan, L.G. Allard, Jesse Moreno",sex and single vampire,,
25,Carnival of Blood,1970.0,"A psychopathic killer uses the carousel ride at a carnival to pick his victims, whom he then murders and dismembers.",Leonard Kirtman,"Earle Edgerton, Judith Resnick, Martin Barolsky, Kaly Mills",carnival of blood,,
26,I Drink Your Blood,1970.0,"A group of Satanic hippies wreak havoc on a small town where a young boy, whose sister and grandfather were victimized by them, tries to get even - with deadly results.",David E. Durston,"Bhaskar Roy Chowdhury, Jadin Wong, Rhonda Fultz, George Patterson",i drink your blood,,
27,Janie,1970.0,"A sadistic teenager searching for ""Daddy"" murders and dismembers anybody who picks her up hitch-hiking.",Jack Bravman,"Linda Vair, Peer St. Jean, Tina Kraskow, Michael Findlay",janie,,
28,Dream No Evil,1970.0,"A young orphan girl obsessed with finding her father gets adopted by a traveling church. She grows up and gets engaged, but her obsession with locating her father is about to turn deadly.",John Hayes,"Edmond O'Brien, Brooke Mills, Marc Lawrence, Michael Pataki",dream no evil,,
29,Daughter of Satan,1970.0,"On her eighteenth birthday, a woman is granted by Satan the power to make all of her sexual desires reality.",Hardi Burton,"Gerard Broulard, Kathy Hilton, Geoffery Patton",daughter of satan,,
30,Madam Satan,1970.0,A strange Satanic cult gets together for group sex orgies.,Tom Gordon,"James Mathers, Barbara Mills, Richard Smedley, Linda Vroom",madam satan,,
31,"Scream, Evelyn, Scream!",1970.0,"A woman, lonely and looking for love, arranges a date through a personals ad. What follows is a nightmare of torture and terror.","Robert Hensley, Tom Anthony","Lance Fuller, Evelyn King, Stafford Repp, Fran Ryan",scream evelyn scream,,
32,Zaat,1971.0,A mad scientist transforms himself into an aquatic killer.,"Arnold Stevens, Don Barton","Marshall Grauer, Wade Popwell, Paul Galloway, Gerald Cruse",zaat,,
33,Guess What Happened to Count Dracula?,1971.0,Count Dracula changes his name to Count Adrian and opens a strange nightclub called Dracula's Dungeon. Count Adrian sets his sights on making the lovely Angelica his latest vampire bride by giving her three bites to the neck.,"Mario d'Alcala, Laurence Merrick","Des Roberts, Claudia Siefried, John Landon, Robert Branche",guess what happened to count dracula,,
34,The Night Visitor,1971.0,"In a Scandinavian insane asylum, murderer Salem sneaks-out at night to exact his revenge on those who he deems responsible for his predicament.",Laslo Benedek,"Max von Sydow, Trevor Howard, Liv Ullmann, Per Oscarsson",night visitor,,
35,Willard,1971.0,"A social misfit uses his only friends, his pet rats, to exact revenge on his tormentors.",Daniel Mann,"Bruce Davison, Elsa Lanchester, Sondra Locke, Ernest Borgnine",willard,,
36,The Cult,1971.0,"A monk-robed cult leader who lives in a coffin, is transported around in a black hearse. At times he gets sadistic with his girl followers.",Albert Zugsmith,"Makee K. Blaisdell, Debbie Osborne, Sean Kenney, Candice Roman",cult,,
37,Blood and Lace,1971.0,"After her prostitute mother and her john are beaten to death while they are asleep in bed, teen-aged Ellie Masters is sent to an isolated orphanage run by Mrs. Deere and her handyman. ...                See full summary »",Philip S. Gilbert,"Gloria Grahame, Melody Patterson, Milton Selzer, Len Lesser",blood and lace,,
38,Will to Die,1971.0,"In order to qualify to inherit the family fortune, the four heirs, their in-laws, and the household servants must spend the night in the family estate. However, during the night someone starts killing them off.",Carl Monson,"Rodolfo Acosta, Merry Anders, Norman Bartold, Ivy Bethune",will to die,,
39,Isle of the Snake People,1971.0,Evil scientist runs a veritable army of LSD crazed zombies.,"Jack Hill, Juan Ibáñez","Boris Karloff, Julissa, Carlos East, Rafael Bertrand",isle of snake people,,
40,The Zodiac Killer,1971.0,"The San Francisco area is beset by a series of seemingly random murders without motive or pattern. The police are taunted by phone calls and letters. Could the maniac be the violent, truck ...                See full summary »",Tom Hanson,"Hal Reed, Bob Jones, Ray Lynch, Tom Pittman",zodiac killer,,
41,The Mephisto Waltz,1971.0,"An old, dying satanist arranges to transfer his soul into the body of a young concert pianist.",Paul Wendkos,"Alan Alda, Jacqueline Bisset, Barbara Parkins, Bradford Dillman",mephisto waltz,,
42,The Incredible 2-Headed Transplant,1971.0,"Dr. Roger Girard is a rich scientist conducting experiments on head transplantation. His caretaker has a son, Danny, who, although fully grown, has the mind of child. One day an escaped ...                See full summary »",Anthony M. Lanza,"Bruce Dern, Pat Priest, Casey Kasem, Albert Cole",incredible 2 headed transplant,,
43,Blood Thirst,1971.0,"A sex-crimes specialist from New York travels to the Philippines to help his friend, a Manila homicide detective, solve a series of murders.",Newt Arnold,"Robert Winston, Katherine Henryk, Yvonne Nielson, Vic Diaz",blood thirst,,
44,"Simon, King of the Witches",1971.0,"Simon, a young man with magic powers, invokes the help of the evil forces in order to take revenge on a man who cheated him with a bad cheque.",Bruce Kessler,"Andrew Prine, Brenda Scott, George Paulsin, Norman Burton",simon king of witches,,
45,The Corpse Grinders,1971.0,"When the Lotus Cat Food Company finds itself in financial trouble, the owners decide to find a new, cheap source of meat -- the local graveyard. Only one problem -- soon cats develop a ...                See full summary »",Ted V. Mikels,"Sean Kenney, Monika Kelly, Sanford Mitchell, J. Byron Foster",corpse grinders,,
46,Circles of Satan,1971.0,"A group of teens try a ritual but soon after get freaked out. In the coming days, the ritual starts to unexpectedly complete itself putting them in greater danger.",Thomas Webb,"Kristen Perry, Thomas Webb",circles of satan,,
47,Brain of Blood,1971.0,"Amir, the benevolent ruler of Kalid, is dying, but there is hope. Freshly deceased, he is flown to the United States where Dr. Trenton transplants his brain into the body of a simpleton in ...                See full summary »",Al Adamson,"Grant Williams, Kent Taylor, John Bloom, Regina Carrol",brain of blood,,
48,Night of Dark Shadows,1971.0,A painter and his wife move into a home and find themselves plagued by ghosts and spirits of his ancestors that used to be witches.,Dan Curtis,"David Selby, Grayson Hall, Kate Jackson, Lara Parker",night of dark shadows,15.0,/wiki/Night_of_Dark_Shadows_(1971)
49,The Brotherhood of Satan,1971.0,A family is trapped in a desert town by a cult of senior-citizens who recruit the town's children to worship Satan.,Bernard McEveety,"Strother Martin, L.Q. Jones, Charles Bateman, Ahna Capri",brotherhood of satan,,
50,Werewolves on Wheels,1971.0,"A biker gang visits a monastery where they encounter black-robed monks engaged in worshipping Satan. When the monks try to persuade one of the female bikers, Helen, to become a satanic ...                See full summary »",Michel Levesque,"Steve Oliver, Donna Anders, Gene Shane, Billy Gray",werewolves on wheels,,
51,The Return of Count Yorga,1971.0,"Count Yorga continues to prey on the local community while living by a nearby orphanage. He also intends to take a new wife, while feeding his bevy of female vampires.",Bob Kelljan,"Robert Quarry, Mariette Hartley, Roger Perry, Yvonne Wilder",return of count yorga,,
52,The Touch of Satan,1971.0,A young man meets a farm girl who is actually a witch.,Don Henderson,"Michael Berry, Emby Mellay, Lee Amber, Yvonne Winslow",touch of satan,,
53,Let's Scare Jessica to Death,1971.0,A recently institutionalized woman has bizarre experiences after moving into a supposedly haunted country farmhouse and fears she may be losing her sanity once again.,John D. Hancock,"Zohra Lampert, Barton Heyman, Kevin O'Connor, Gretchen Corbett",lets scare jessica to death,14.0,/wiki/Let%27s_Scare_Jessica_to_Death
54,The Toy Box,1971.0,"When Ralph persuades his girlfriend Donna to participate in a bizarre party, she discovers the guests are there to perform erotic plays in the presence of a corpse, Ralph's millionaire ...                See full summary »",Ronald Víctor García,"Sean Kenney, Ann Perry, Neal Bishop, Debbie Osborne",toy box,,
55,Dracula vs. Frankenstein,1971.0,Dracula conspires with a mad doctor to resurrect the Frankenstein Monster.,"Samuel M. Sherman, Al Adamson","J. Carrol Naish, Lon Chaney Jr., Zandor Vorkov, Anthony Eisley",dracula vs frankenstein,13.0,/wiki/Dracula_vs._Frankenstein
56,The Velvet Vampire,1971.0,"Lee and his wife Susan accept the invitation of mysterious, Diane, to visit her secluded desert estate. Tensions arise when the couple, unaware that Diane is a vampire, realize that they are both objects of the pale temptress seductions.",Stephanie Rothman,"Michael Blodgett, Sherry E. DeBoer, Celeste Yarnall, Gene Shane",velvet vampire,,
57,Death by Invitation,1971.0,A young woman learns that one of her ancestors was executed three centuries ago under suspicion of being a witch. She decides to take revenge on the descendants of the people who had her killed.,Ken Friedman,"Shelby Leverington, Aaron Phillips, Norman Parker, Jerry Allgor",death by invitation,,
58,I Eat Your Skin,1971.0,"A playboy adventure novelist joins his publisher on an expedition to Voodoo Island in the Caribbean, where a cancer researcher is being forced to turn the tribes-people into zombies.",Del Tenney,"William Joyce, Heather Hewitt, Walter Coy, Dan Stapleton",i eat your skin,,
59,Point of Terror,1971.0,"A nightclub singer has nightmares about being involved in adultery and murder, only to wake up and find that they may not be nightmares.",Alex Nicol,"Peter Carpenter, Dyanne Thorne, Lory Hansen, Leslie Simms",point of terror,,
60,Octaman,1971.0,A team of researchers discovers a strange mutation of man and octopus who proceeds to terrorize them.,Harry Essex,"Pier Angeli, Kerwin Mathews, Jeff Morrow, David Essex",octaman,,
61,If Footmen Tire You What Will Horses Do?,1971.0,"Based on the preachings of Reverend Estus W. Pirkle, this film warns what will happen to America if the citizens do not give up their depraved ways and turn to God and Jesus for salvation. ...                See full summary »",Ron Ormond,"Judy Creech, Cecil Scaife, Gene McFall, Wes Saunders",if footmen tire you what will horses do,,
62,Terror at Orgy Castle,1971.0,A young couple on a European vacation get mixed up with a countess and a hunchbacked servant at a castle where black masses are held.,Zoltan G. Spencer,"Bambi Allen, Ron Darby, John Dullaghan, William Howard",terror at orgy castle,,
63,Diabolic Wedding,1971.0,A marriage night ordained by the devil himself.,"Gene Nash, Harold Daniels","Inés Chacha Hormazabal, Patricia Aspíllaga, Fernando Larrañaga, Margaret O'Brien",diabolic wedding,,
64,Legend of Horror,1971.0,Two men escape from prison and one starts a murder spree.,Bill Davies,"William Bates, Karin Field, Fawn Silver, Narciso Ibáñez Menta",legend of horror,,
65,The Beast of the Yellow Night,1971.0,"Satan saves a man from death on condition he become his disciple (and, as it turns out, a hairy murderous beast).",Eddie Romero,"John Ashley, Mary Charlotte Wilcox, Leopoldo Salcedo, Eddie Garcia",beast of yellow night,10.0,/wiki/Beast_of_the_Yellow_Night_(1971)
66,Blood Shack,1971.0,"A young woman inherits a ranch that is supposedly haunted by a murderous beast called ""The Chooper.""",Ray Dennis Steckler,"Carolyn Brandt, Ron Haydock, Jason Wayne, Laurel Spring",blood shack,,
67,The Headless Eyes,1971.0,"Poor artist gets eye gouged out while committing a robbery. When his eye heals, he goes on a killing spree and cuts out women's eyes with a spoon.",Kent Bateman,"Bo Brundin, Ramon Gordon, Kelly Swartz, Ann Wells",headless eyes,,
68,The Night God Screamed,1971.0,A woman is persecuted by Jesus freaks after they've crucified her preacher husband.,Lee Madden,"Jeanne Crain, Alex Nicol, Dan Spelling, Michael Sugich",night god screamed,,
69,South of Hell Mountain,1971.0,"After planning to just rob a gold mine, an outlaw and his two sons end up killing all of the miners. While fleeing to Canada, they stop at a small cabin in the woods where they find a woman...                See full summary »","William Sachs, Louis Leahman","Anna Stuart, Sam Hall, Nicol Britton, Elsa Raven",south of hell mountain,,
70,The Jekyll and Hyde Portfolio,1971.0,A man commits a series of murders due to his dual personalities and his zodiac birth sign.,Eric Jeffrey Haims,"Sebastian Brook, Mady Maguire, Donn Greer, Gray Daniels",jekyll and hyde portfolio,,
71,The Slaughter,1971.0,"Max Marsh, a major film producer, comes to Buenos Aires. He plans his next epic there, with his famous star, Terri London. They arrive to the press, and murder. Terri finds Horst Krein and ...                See full summary »",Michael Findlay,"Mirtha Massa, Clao Villanueva, Xanthe Ellis, Enrique Larratelli",slaughter,,
72,Mystic Mountain Massacre,1971.0,Add a Plot,Byron Mabe,"Ray Danton, Wanda Hendrix, Ron Foster, Claire Brennen",mystic mountain massacre,,
73,Night of the Cobra Woman,1972.0,"After being bitten by a cobra in the Philippines, Lena can turn herself into a snake and she stops aging. The curse comes with a price. The priestess Lena must consume cobra venom and vital young men to stay young.",Andrew Meyer,"Joy Bang, Marlene Clark, Roger Garrett, Vic Diaz",night of cobra woman,,
74,Sweet Kill,1972.0,"Horror and suspense in the story of a psychotic maniac who literally ""loves"" women to death.",Curtis Hanson,"Tab Hunter, Cherie Latimer, Nadyne Turney, Isabel Jewell",sweet kill,,
75,Frogs,1972.0,"A group of helpless victims celebrate a birthday on an island estate crawling with killer amphibians, birds, insects, and reptiles.",George McCowan,"Ray Milland, Sam Elliott, Joan Van Ark, Adam Roarke",frogs,22.0,/wiki/Frogs
76,The Twilight People,1972.0,"A kidnapped diver is taken to an island inhabited by a mad scientist and his half-animal, half-human creations.",Eddie Romero,"John Ashley, Pat Woodell, Jan Merlin, Charles Macaulay",twilight people,,
77,I Dismember Mama,1972.0,Albert tried to kill his rich snobby mother once. Then he was institutionalized. Now he's escaped. Albert is after his mother again. And he will torture and kill anything that lays in the ...                See full summary »,Paul Leder,"Zooey Hall, Geri Reischl, Joanne Moore Jordan, Greg Mullavey",i dismember mama,,
78,Necromancy,1972.0,"Orson Welles plays the head of a witches' coven in the town of Lilith, where he needs the powers of Pamela Franklin to raise his son from the dead.",Bert I. Gordon,"Orson Welles, Pamela Franklin, Lee Purcell, Michael Ontkean",necromancy,,
79,Tower of Evil,1972.0,A group of experienced archeologists are searching for an old and mystic Phoenician treasure when they are surprised by a series of mysterious murders...,Jim O'Connolly,"Bryant Haliday, Jill Haworth, Mark Edwards, Jack Watson",tower of evil,,
80,Moonchild,1972.0,"A young artists spends the night at a mysterious inn, where he meets a group of strange, sullen people, among them the innkeeper's beautiful daughter. What he doesn't know is that he has ...                See full summary »",Alan Gadney,"Victor Buono, John Carradine, William Challee, Janet Landgard",moonchild,,
81,The Other,1972.0,"A series of gruesome accidents plague a small American farming community in the summer of 1935, encircling two identical twin brothers and their family.",Robert Mulligan,"Uta Hagen, Diana Muldaur, Chris Udvarnoky, Martin Udvarnoky",other,,
82,Stanley,1972.0,A young Seminole Indian uses his rattlesnake to take revenge on all those he believes have wronged him.,William Grefé,"Chris Robinson, Alex Rocco, Steve Alaimo, Susan Carroll",stanley,,
83,The Possession of Joel Delaney,1972.0,A woman (Shirley MacLaine) begins to suspect that her brother (Perry King) is possessed by a voodoo spirit.,Waris Hussein,"Shirley MacLaine, Perry King, David Elliott, Lisa Kohane",possession of joel delaney,29.0,/wiki/The_Possession_of_Joel_Delaney
84,Baron Blood,1972.0,"A young man, visiting the castle of a murderous ancestor in Austria, accidentally brings his dead relative back to life - searching for new victims.",Mario Bava,"Joseph Cotten, Elke Sommer, Massimo Girotti, Luciano Pigozzi",baron blood,17.0,/wiki/Baron_Blood_(1972)
85,The Man with Two Heads,1972.0,"Horror remake of ""Dr. Jekyll And Mr. Hyde"".",Andy Milligan,"Denis DeMarne, Julia Stratton, Gay Feld, Jaqueline Lawrence",man with two heads,,
86,The Rats Are Coming! The Werewolves Are Here!,1972.0,The daughter in a family of werewolves decides to put an end to the family curse.,Andy Milligan,"Hope Stansbury, Jackie Skarvellis, Noel Collins, Joan Ogden",rats are coming werewolves are here,,
87,Season of the Witch,1972.0,"A neglected, unhappy suburban housewife with gets mixed up in witchcraft with unexpected consequences.",George A. Romero,"Jan White, Raymond Laine, Ann Muffly, Joedda McClain",season of witch,,
88,Mortal Remains,1972.0,A group of jaded 1920s socialites defile the shrine of an ancient evil sect of the darker side. Their exploration of this unknown and strange culture results in horrific consequences as a result.,Karl Atticus,"Karl Atticus, William C. Burch, Lee Karr, Steven W. Knorr",mortal remains,,
89,Children Shouldn't Play with Dead Things,1972.0,Six friends in a theatrical troupe dig up a corpse on an abandoned island to use in a mock Satanic rite. It backfires with deadly consequences.,Bob Clark,"Alan Ormsby, Valerie Mamches, Jeff Gillen, Anya Ormsby",children shouldnt play with dead things,20.0,/wiki/Children_Shouldn%27t_Play_with_Dead_Things_(1972)
90,Beware! The Blob,1972.0,"A technician brings a frozen specimen of the original Blob back from the North Pole. When his wife accidentally defrosts the thing, it terrorizes the populace, including the local hippies, kittens, and bowlers.",Larry Hagman,"Robert Walker Jr., Gwynne Gilford, Richard Stahl, Richard Webb",beware blob,18.0,/wiki/Beware!_The_Blob_(1972)
91,Ben,1972.0,"A lonely boy befriends Ben, the leader of a violent pack of killer rats.",Phil Karlson,"Lee Montgomery, Joseph Campanella, Arthur O'Connell, Rosemary Murphy",ben,,
92,The Body Shop,1972.0,Emminent plastic surgeon and mad scientist Don Brandon loses his wife Anitra - pinup model and social butterfly - in a tragic accident. He and his faithful humpbacked and drooling assistant...                See full summary »,J.G. Patterson Jr.,"J.G. Patterson Jr., Jenny Driggers, Roy Mehaffey, Linda Faile",body shop,,
93,The Legend of Hillbilly John,1972.0,"A wandering ballad singer in the Appalachians meets an ugly bird-type creature, is transported back in time, finds himself involved in the Devil's work.",John Newland,"Severn Darden, Hedges Capers, Sharon Henesy, Honor Hound",legend of hillbilly john,,
94,Dr. Phibes Rises Again,1972.0,"The vengeful doctor rises again, seeking the Scrolls of Life in an attempt to resurrect his deceased wife.",Robert Fuest,"Vincent Price, Robert Quarry, Valli Kemp, Hugh Griffith",dr phibes rises again,,
95,The Last House on the Left,1972.0,"Two teenage girls heading to a rock concert for one's birthday try to score marijuana in the city, where they are kidnapped and brutalized by a gang of psychotic convicts.",Wes Craven,"Sandra Peabody, Lucy Grantham, David Hess, Fred J. Lincoln",last house on left,25.0,/wiki/The_Last_House_on_the_Left_(1972)
96,The Adult Version of Jekyll & Hide,1972.0,"A crazed doctor, who has already murdered a man, finds Dr. Jekyll's diary and mixes up Jekyll's formula. He mixes up a batch of the potion, turns into the Jekyll monster and begins to stalk, rape and murder women.",Lee Raymond,"Laurie Rose, Rene Bond, Jane Tsentas, Linda York",adult version of jekyll hide,,
97,Grave of the Vampire,1972.0,"Kroft, a legendary vampire, returns from sleep. Kroft attacks a couple in a graveyard, raping the woman. The child born feeds only on blood from his mother's breast.",John Hayes,"William Smith, Michael Pataki, Lyn Peters, Diane Holden",grave of vampire,,
98,Invasion of the Blood Farmers,1972.0,"Somewhere in upstate New York, A secretive group of farmers are harvesting human blood for a mysterious purpose.",Ed Adlum,"Norman Kelley, Tanna Hunter, Bruce Detrick, Paul Craig Jennings",invasion of blood farmers,,
99,Blacula,1972.0,"An ancient African prince, turned into a vampire by Dracula himself, finds himself in modern Los Angeles.",William Crain,"William Marshall, Vonetta McGee, Denise Nicholas, Thalmus Rasulala",blacula,19.0,/wiki/Blacula_(1972)
100,Deathmaster,1972.0,"Quarry is a mysterious, articulate stranger who draws a cult like following of local hippies. Rather than showing them peace and love, he has more sinister plans for them, as he is a ...                See full summary »",Ray Danton,"Robert Quarry, Bill Ewing, Brenda Dickson, John Fiedler",deathmaster,,
101,Night of the Lepus,1972.0,Giant mutant rabbits terrorize the south-west.,William F. Claxton,"Stuart Whitman, Janet Leigh, Rory Calhoun, DeForest Kelley",night of lepus,,
102,Garden of the Dead,1972.0,"Convicts on a chain gang sniff experimental formaldehyde fumes to get high. They attempt a prison break, are shot down by the guards and buried in the prison garden. Soon, they rise from ...                See full summary »",John Hayes,"Philip Kenneally, Duncan McLeod, John Dullaghan, John Dennis",garden of dead,,
103,Love Me Deadly,1972.0,A young socialite struggling to control her necrophiliac urges is torn between her affection for a kind businessman and the mortician who supplies her with bodies.,Jacques Lacerte,"Mary Charlotte Wilcox, Lyle Waggoner, Christopher Stone, Timothy Scott",love me deadly,,
104,The Gore Gore Girls,1972.0,A young reporter enlists the help of a top notch private eye to solve the murder of a female stripper at a Chicago nightclub.,Herschell Gordon Lewis,"Frank Kress, Amy Farrell, Hedda Lubin, Henny Youngman",gore gore girls,,
105,Terror at Red Wolf Inn,1972.0,"College student Regina wins a getaway vacation at the quiet Red Wolf Inn, which is run by a friendly elderly couple, but it gradually becomes clear that something is amiss.",Bud Townsend,"Linda Gillen, John Neilson, Arthur Space, Mary Jackson",terror at red wolf inn,,
106,Enter the Devil,1972.0,"Somewhere in south west Texas, where a christian cult is said to have resided in the past, a deputy sheriff investigates a number of suspicious deaths.",Frank Q. Dobbs,"Joshua Bryant, Irene Kelly, David S. Cass Sr., John Martin",enter devil,,
107,Private Parts,1972.0,"Young Cheryl moves into her estranged aunt Martha's rundown King Edward Hotel. One of its offbeat residents, disturbed photographer George, takes special interest in her. Cheryl begins suspecting that a resident was murdered.",Paul Bartel,"Ayn Ruymen, Lucille Benson, John Ventantonio, Laurie Main",private parts,,
108,The Night of the Strangler,1972.0,"In New Orleans, a relationship between a black man and a white girl leads to a string of murders.",Joy N. Houck Jr.,"Micky Dolenz, James Ralston, Michael Anthony, Chuck Patterson",night of strangler,,
109,Three on a Meathook,1972.0,"Four girls go on a romping weekend at a lake, and have car problems on the way home. A nice local boy takes them back to his farm, where he lives with his father. Something ghastly happens,...                See full summary »",William Girdler,"Charles Kissinger, James Carroll Pickett, Sherry Steiner, Madelyn Buzzard",three on a meathook,,
110,Voices of Desire,1972.0,A young woman recounts her claims that she was involved in a cult whose members were either murdered or committed suicide.,Chuck Vincent,"Sandra Peabody, Gus Thomas, Marlene Willoughby, Jim Gabbe",voices of desire,,
111,You'll Like My Mother,1972.0,"Francesa Kinsolving, a very pregnant widow whose husband was recently killed in action in Vietnam, travels to visit her late husband's mother in a snowy Minnesota town only to get snowed in...                See full summary »",Lamont Johnson,"Patty Duke, Rosemary Murphy, Richard Thomas, Sian Barbara Allen",youll like my mother,31.0,/wiki/You%27ll_Like_My_Mother
112,The Flesh and Blood Show,1972.0,Actors rehearsing a show at a mysterious seaside theater are being killed off by an unknown maniac.,Pete Walker,"Ray Brooks, Jenny Hanley, Luan Peters, Robin Askwith",flesh and blood show,,
